season,week,awayTeam,homeTeam,awayPoints,homePoints,Winner,game_date,day_of_week_name,Month
2000.0,,Arsenal,Sunderland,0.0,1.0,Sunderland,2000-08-19,Saturday,
2000.0,,Liverpool,Arsenal,0.0,2.0,Arsenal,2000-08-21,Monday,
2000.0,,Charlton,Arsenal,3.0,5.0,Arsenal,2000-08-26,Saturday,
2000.0,,Arsenal,Chelsea,2.0,2.0,Draw,2000-09-06,Wednesday,
2000.0,,Arsenal,Bradford,1.0,1.0,Draw,2000-09-09,Saturday,
2000.0,,Coventry,Arsenal,1.0,2.0,Arsenal,2000-09-16,Saturday,
2000.0,,Arsenal,Ipswich,1.0,1.0,Draw,2000-09-23,Saturday,
2000.0,,Man United,Arsenal,0.0,1.0,Arsenal,2000-10-01,Sunday,
2000.0,,Aston Villa,Arsenal,0.0,1.0,Arsenal,2000-10-14,Saturday,
2000.0,,Arsenal,West Ham,2.0,1.0,Arsenal,2000-10-21,Saturday,
2000.0,,Man City,Arsenal,0.0,5.0,Arsenal,2000-10-28,Saturday,
2000.0,,Arsenal,Middlesbrough,1.0,0.0,Arsenal,2000-11-04,Saturday,
2000.0,,Derby,Arsenal,0.0,0.0,Draw,2000-11-11,Saturday,
2000.0,,Arsenal,Everton,0.0,2.0,Everton,2000-11-18,Saturday,
2000.0,,Arsenal,Leeds,0.0,1.0,Leeds,2000-11-26,Sunday,
2000.0,,Southampton,Arsenal,0.0,1.0,Arsenal,2000-12-02,Saturday,
2000.0,,Newcastle,Arsenal,0.0,5.0,Arsenal,2000-12-09,Saturday,
2000.0,,Arsenal,Tottenham,1.0,1.0,Draw,2000-12-18,Monday,
2000.0,,Arsenal,Liverpool,0.0,4.0,Liverpool,2000-12-23,Saturday,
2000.0,,Leicester,Arsenal,1.0,6.0,Arsenal,2000-12-26,Tuesday,
2000.0,,Sunderland,Arsenal,2.0,2.0,Draw,2000-12-30,Saturday,
2000.0,,Arsenal,Charlton,0.0,1.0,Charlton,2001-01-01,Monday,
2000.0,,Chelsea,Arsenal,1.0,1.0,Draw,2001-01-13,Saturday,
2000.0,,Arsenal,Leicester,0.0,0.0,Draw,2001-01-20,Saturday,
2000.0,,Bradford,Arsenal,0.0,2.0,Arsenal,2001-01-30,Tuesday,
2000.0,,Arsenal,Coventry,1.0,0.0,Arsenal,2001-02-03,Saturday,
2000.0,,Ipswich,Arsenal,0.0,1.0,Arsenal,2001-02-10,Saturday,
2000.0,,Arsenal,Man United,1.0,6.0,Man United,2001-02-25,Sunday,
2000.0,,West Ham,Arsenal,0.0,3.0,Arsenal,2001-03-03,Saturday,
2000.0,,Arsenal,Aston Villa,0.0,0.0,Draw,2001-03-18,Sunday,
2000.0,,Tottenham,Arsenal,0.0,2.0,Arsenal,2001-03-31,Saturday,
2000.0,,Arsenal,Man City,4.0,0.0,Arsenal,2001-04-11,Wednesday,
2000.0,,Middlesbrough,Arsenal,3.0,0.0,Middlesbrough,2001-04-14,Saturday,
2000.0,,Everton,Arsenal,1.0,4.0,Arsenal,2001-04-21,Saturday,
2000.0,,Arsenal,Derby,2.0,1.0,Arsenal,2001-04-28,Saturday,
2000.0,,Leeds,Arsenal,1.0,2.0,Arsenal,2001-05-05,Saturday,
2000.0,,Arsenal,Newcastle,0.0,0.0,Draw,2001-05-15,Tuesday,
2000.0,,Arsenal,Southampton,2.0,3.0,Southampton,2001-05-19,Saturday,
2001.0,,Arsenal,Middlesbrough,4.0,0.0,Arsenal,2001-08-18,Saturday,
2001.0,,Leeds,Arsenal,2.0,1.0,Leeds,2001-08-21,Tuesday,
2001.0,,Leicester,Arsenal,0.0,4.0,Arsenal,2001-08-25,Saturday,
2001.0,,Arsenal,Chelsea,1.0,1.0,Draw,2001-09-08,Saturday,
2001.0,,Arsenal,Fulham,3.0,1.0,Arsenal,2001-09-15,Saturday,
2001.0,,Bolton,Arsenal,1.0,1.0,Draw,2001-09-22,Saturday,
2001.0,,Arsenal,Derby,2.0,0.0,Arsenal,2001-09-29,Saturday,
2001.0,,Arsenal,Southampton,2.0,0.0,Arsenal,2001-10-13,Saturday,
2001.0,,Blackburn,Arsenal,3.0,3.0,Draw,2001-10-20,Saturday,
2001.0,,Arsenal,Sunderland,1.0,1.0,Draw,2001-10-27,Saturday,
2001.0,,Charlton,Arsenal,4.0,2.0,Charlton,2001-11-04,Sunday,
2001.0,,Arsenal,Tottenham,1.0,1.0,Draw,2001-11-17,Saturday,
2001.0,,Man United,Arsenal,1.0,3.0,Arsenal,2001-11-25,Sunday,
2001.0,,Arsenal,Ipswich,2.0,0.0,Arsenal,2001-12-01,Saturday,
2001.0,,Aston Villa,Arsenal,2.0,3.0,Arsenal,2001-12-09,Sunday,
2001.0,,Arsenal,West Ham,1.0,1.0,Draw,2001-12-15,Saturday,
2001.0,,Newcastle,Arsenal,3.0,1.0,Newcastle,2001-12-18,Tuesday,
2001.0,,Arsenal,Liverpool,2.0,1.0,Arsenal,2001-12-23,Sunday,
2001.0,,Chelsea,Arsenal,1.0,2.0,Arsenal,2001-12-26,Wednesday,
2001.0,,Middlesbrough,Arsenal,1.0,2.0,Arsenal,2001-12-29,Saturday,
2001.0,,Liverpool,Arsenal,1.0,1.0,Draw,2002-01-13,Sunday,
2001.0,,Arsenal,Leeds,1.0,1.0,Draw,2002-01-20,Sunday,
2001.0,,Arsenal,Leicester,3.0,1.0,Arsenal,2002-01-23,Wednesday,
2001.0,,Arsenal,Blackburn,3.0,2.0,Arsenal,2002-01-30,Wednesday,
2001.0,,Southampton,Arsenal,1.0,1.0,Draw,2002-02-02,Saturday,
2001.0,,Arsenal,Everton,1.0,0.0,Arsenal,2002-02-10,Sunday,
2001.0,,Fulham,Arsenal,1.0,4.0,Arsenal,2002-02-23,Saturday,
2001.0,,Arsenal,Newcastle,2.0,0.0,Arsenal,2002-03-02,Saturday,
2001.0,,Derby,Arsenal,0.0,1.0,Arsenal,2002-03-05,Tuesday,
2001.0,,Arsenal,Aston Villa,2.0,1.0,Arsenal,2002-03-17,Sunday,
2001.0,,Sunderland,Arsenal,0.0,3.0,Arsenal,2002-03-30,Saturday,
2001.0,,Arsenal,Charlton,3.0,0.0,Arsenal,2002-04-01,Monday,
2001.0,,Tottenham,Arsenal,1.0,2.0,Arsenal,2002-04-06,Saturday,
2001.0,,Ipswich,Arsenal,0.0,2.0,Arsenal,2002-04-21,Sunday,
2001.0,,West Ham,Arsenal,0.0,2.0,Arsenal,2002-04-24,Wednesday,
2001.0,,Arsenal,Bolton,2.0,0.0,Arsenal,2002-04-29,Monday,
2001.0,,Arsenal,Man United,1.0,0.0,Arsenal,2002-05-08,Wednesday,
2001.0,,Everton,Arsenal,3.0,4.0,Arsenal,2002-05-11,Saturday,
2002.0,,Birmingham,Arsenal,0.0,2.0,Arsenal,2002-08-18,Sunday,
2002.0,,Arsenal,West Ham,2.0,2.0,Draw,2002-08-24,Saturday,
2002.0,,West Brom,Arsenal,2.0,5.0,Arsenal,2002-08-27,Tuesday,
2002.0,,Arsenal,Chelsea,1.0,1.0,Draw,2002-09-01,Sunday,
2002.0,,Man City,Arsenal,1.0,2.0,Arsenal,2002-09-10,Tuesday,
2002.0,,Arsenal,Charlton,3.0,0.0,Arsenal,2002-09-14,Saturday,
2002.0,,Bolton,Arsenal,1.0,2.0,Arsenal,2002-09-21,Saturday,
2002.0,,Arsenal,Leeds,4.0,1.0,Arsenal,2002-09-28,Saturday,
2002.0,,Sunderland,Arsenal,1.0,3.0,Arsenal,2002-10-06,Sunday,
2002.0,,Arsenal,Everton,1.0,2.0,Everton,2002-10-19,Saturday,
2002.0,,Blackburn,Arsenal,2.0,1.0,Blackburn,2002-10-26,Saturday,
2002.0,,Arsenal,Fulham,1.0,0.0,Arsenal,2002-11-03,Sunday,
2002.0,,Newcastle,Arsenal,0.0,1.0,Arsenal,2002-11-09,Saturday,
2002.0,,Tottenham,Arsenal,0.0,3.0,Arsenal,2002-11-16,Saturday,
2002.0,,Arsenal,Southampton,2.0,3.0,Southampton,2002-11-23,Saturday,
2002.0,,Aston Villa,Arsenal,1.0,3.0,Arsenal,2002-11-30,Saturday,
2002.0,,Arsenal,Man United,0.0,2.0,Man United,2002-12-07,Saturday,
2002.0,,Arsenal,Tottenham,1.0,1.0,Draw,2002-12-15,Sunday,
2002.0,,Middlesbrough,Arsenal,0.0,2.0,Arsenal,2002-12-21,Saturday,
2002.0,,Arsenal,West Brom,2.0,1.0,Arsenal,2002-12-26,Thursday,
2002.0,,Liverpool,Arsenal,1.0,1.0,Draw,2002-12-29,Sunday,
2002.0,,Chelsea,Arsenal,2.0,3.0,Arsenal,2003-01-01,Wednesday,
2002.0,,Arsenal,Birmingham,4.0,0.0,Arsenal,2003-01-12,Sunday,
2002.0,,West Ham,Arsenal,1.0,3.0,Arsenal,2003-01-19,Sunday,
2002.0,,Arsenal,Liverpool,2.0,2.0,Draw,2003-01-29,Wednesday,
2002.0,,Fulham,Arsenal,1.0,2.0,Arsenal,2003-02-01,Saturday,
2002.0,,Arsenal,Newcastle,1.0,1.0,Draw,2003-02-09,Sunday,
2002.0,,Arsenal,Man City,5.0,1.0,Arsenal,2003-02-22,Saturday,
2002.0,,Charlton,Arsenal,0.0,2.0,Arsenal,2003-03-02,Sunday,
2002.0,,Arsenal,Blackburn,0.0,2.0,Blackburn,2003-03-15,Saturday,
2002.0,,Everton,Arsenal,1.0,2.0,Arsenal,2003-03-23,Sunday,
2002.0,,Arsenal,Aston Villa,1.0,1.0,Draw,2003-04-05,Saturday,
2002.0,,Man United,Arsenal,2.0,2.0,Draw,2003-04-16,Wednesday,
2002.0,,Arsenal,Middlesbrough,2.0,0.0,Arsenal,2003-04-19,Saturday,
2002.0,,Arsenal,Bolton,2.0,2.0,Draw,2003-04-26,Saturday,
2002.0,,Leeds,Arsenal,3.0,2.0,Leeds,2003-05-04,Sunday,
2002.0,,Southampton,Arsenal,1.0,6.0,Arsenal,2003-05-07,Wednesday,
2002.0,,Arsenal,Sunderland,4.0,0.0,Arsenal,2003-05-11,Sunday,
2003.0,,Everton,Arsenal,1.0,2.0,Arsenal,2003-08-16,Saturday,
2003.0,,Arsenal,Middlesbrough,4.0,0.0,Arsenal,2003-08-24,Sunday,
2003.0,,Aston Villa,Arsenal,0.0,2.0,Arsenal,2003-08-27,Wednesday,
2003.0,,Arsenal,Man City,2.0,1.0,Arsenal,2003-08-31,Sunday,
2003.0,,Portsmouth,Arsenal,1.0,1.0,Draw,2003-09-13,Saturday,
2003.0,,Arsenal,Man United,0.0,0.0,Draw,2003-09-21,Sunday,
2003.0,,Newcastle,Arsenal,2.0,3.0,Arsenal,2003-09-26,Friday,
2003.0,,Arsenal,Liverpool,2.0,1.0,Arsenal,2003-10-04,Saturday,
2003.0,,Chelsea,Arsenal,1.0,2.0,Arsenal,2003-10-18,Saturday,
2003.0,,Arsenal,Charlton,1.0,1.0,Draw,2003-10-26,Sunday,
2003.0,,Arsenal,Leeds,4.0,1.0,Arsenal,2003-11-01,Saturday,
2003.0,,Tottenham,Arsenal,1.0,2.0,Arsenal,2003-11-08,Saturday,
2003.0,,Arsenal,Birmingham,3.0,0.0,Arsenal,2003-11-22,Saturday,
2003.0,,Fulham,Arsenal,0.0,0.0,Draw,2003-11-30,Sunday,
2003.0,,Arsenal,Leicester,1.0,1.0,Draw,2003-12-06,Saturday,
2003.0,,Blackburn,Arsenal,0.0,1.0,Arsenal,2003-12-14,Sunday,
2003.0,,Arsenal,Bolton,1.0,1.0,Draw,2003-12-20,Saturday,
2003.0,,Wolves,Arsenal,0.0,3.0,Arsenal,2003-12-26,Friday,
2003.0,,Arsenal,Southampton,1.0,0.0,Arsenal,2003-12-29,Monday,
2003.0,,Arsenal,Everton,1.0,1.0,Draw,2004-01-07,Wednesday,
2003.0,,Middlesbrough,Arsenal,1.0,4.0,Arsenal,2004-01-10,Saturday,
2003.0,,Arsenal,Aston Villa,2.0,0.0,Arsenal,2004-01-18,Sunday,
2003.0,,Man City,Arsenal,1.0,2.0,Arsenal,2004-02-01,Sunday,
2003.0,,Arsenal,Wolves,3.0,1.0,Arsenal,2004-02-07,Saturday,
2003.0,,Southampton,Arsenal,0.0,2.0,Arsenal,2004-02-10,Tuesday,
2003.0,,Arsenal,Chelsea,2.0,1.0,Arsenal,2004-02-21,Saturday,
2003.0,,Charlton,Arsenal,1.0,2.0,Arsenal,2004-02-28,Saturday,
2003.0,,Arsenal,Blackburn,2.0,0.0,Arsenal,2004-03-13,Saturday,
2003.0,,Bolton,Arsenal,1.0,2.0,Arsenal,2004-03-20,Saturday,
2003.0,,Man United,Arsenal,1.0,1.0,Draw,2004-03-28,Sunday,
2003.0,,Arsenal,Tottenham,2.0,2.0,Draw,2004-04-25,Sunday,
2003.0,,Birmingham,Arsenal,0.0,0.0,Draw,2004-05-01,Saturday,
2003.0,,Arsenal,Portsmouth,1.0,1.0,Draw,2004-05-04,Tuesday,
2004.0,,Arsenal,Everton,4.0,1.0,Arsenal,2004-08-15,Sunday,
2004.0,,Middlesbrough,Arsenal,3.0,5.0,Arsenal,2004-08-22,Sunday,
2004.0,,Blackburn,Arsenal,0.0,3.0,Arsenal,2004-08-25,Wednesday,
2004.0,,Arsenal,Norwich,4.0,1.0,Arsenal,2004-08-28,Saturday,
2004.0,,Arsenal,Fulham,3.0,0.0,Arsenal,2004-09-11,Saturday,
2004.0,,Bolton,Arsenal,2.0,2.0,Draw,2004-09-18,Saturday,
2004.0,,Arsenal,Man City,1.0,0.0,Arsenal,2004-09-25,Saturday,
2004.0,,Charlton,Arsenal,0.0,4.0,Arsenal,2004-10-02,Saturday,
2004.0,,Aston Villa,Arsenal,1.0,3.0,Arsenal,2004-10-16,Saturday,
2004.0,,Arsenal,Man United,0.0,2.0,Man United,2004-10-24,Sunday,
2004.0,,Southampton,Arsenal,2.0,2.0,Draw,2004-10-30,Saturday,
2004.0,,Arsenal,Crystal Palace,1.0,1.0,Draw,2004-11-06,Saturday,
2004.0,,Arsenal,Tottenham,5.0,4.0,Arsenal,2004-11-13,Saturday,
2004.0,,West Brom,Arsenal,1.0,1.0,Draw,2004-11-20,Saturday,
2004.0,,Arsenal,Liverpool,1.0,2.0,Liverpool,2004-11-28,Sunday,
2004.0,,Birmingham,Arsenal,0.0,3.0,Arsenal,2004-12-04,Saturday,
2004.0,,Chelsea,Arsenal,2.0,2.0,Draw,2004-12-12,Sunday,
2004.0,,Arsenal,Portsmouth,1.0,0.0,Arsenal,2004-12-19,Sunday,
2004.0,,Fulham,Arsenal,0.0,2.0,Arsenal,2004-12-26,Sunday,
2004.0,,Arsenal,Newcastle,1.0,0.0,Arsenal,2004-12-29,Wednesday,
2004.0,,Arsenal,Charlton,3.0,1.0,Arsenal,2005-01-01,Saturday,
2004.0,,Man City,Arsenal,1.0,1.0,Draw,2005-01-04,Tuesday,
2004.0,,Arsenal,Bolton,0.0,1.0,Bolton,2005-01-15,Saturday,
2004.0,,Newcastle,Arsenal,0.0,1.0,Arsenal,2005-01-23,Sunday,
2004.0,,Man United,Arsenal,4.0,2.0,Man United,2005-02-01,Tuesday,
2004.0,,Arsenal,Aston Villa,3.0,1.0,Arsenal,2005-02-05,Saturday,
2004.0,,Crystal Palace,Arsenal,1.0,5.0,Arsenal,2005-02-14,Monday,
2004.0,,Arsenal,Southampton,1.0,1.0,Draw,2005-02-26,Saturday,
2004.0,,Portsmouth,Arsenal,0.0,3.0,Arsenal,2005-03-05,Saturday,
2004.0,,Arsenal,Blackburn,1.0,0.0,Arsenal,2005-03-19,Saturday,
2004.0,,Norwich,Arsenal,1.0,4.0,Arsenal,2005-04-02,Saturday,
2004.0,,Arsenal,Middlesbrough,1.0,0.0,Arsenal,2005-04-09,Saturday,
2004.0,,Arsenal,Chelsea,0.0,0.0,Draw,2005-04-20,Wednesday,
2005.0,,Newcastle,Arsenal,0.0,2.0,Arsenal,2005-08-14,Sunday,
2005.0,,Arsenal,Chelsea,0.0,1.0,Chelsea,2005-08-21,Sunday,
2005.0,,Fulham,Arsenal,1.0,4.0,Arsenal,2005-08-24,Wednesday,
2005.0,,Arsenal,Middlesbrough,1.0,2.0,Middlesbrough,2005-09-10,Saturday,
2005.0,,Everton,Arsenal,0.0,2.0,Arsenal,2005-09-19,Monday,
2005.0,,Arsenal,West Ham,0.0,0.0,Draw,2005-09-24,Saturday,
2005.0,,Birmingham,Arsenal,0.0,1.0,Arsenal,2005-10-02,Sunday,
2005.0,,Arsenal,West Brom,1.0,2.0,West Brom,2005-10-15,Saturday,
2005.0,,Man City,Arsenal,0.0,1.0,Arsenal,2005-10-22,Saturday,
2005.0,,Arsenal,Tottenham,1.0,1.0,Draw,2005-10-29,Saturday,
2005.0,,Sunderland,Arsenal,1.0,3.0,Arsenal,2005-11-05,Saturday,
2005.0,,Arsenal,Wigan,3.0,2.0,Arsenal,2005-11-19,Saturday,
2005.0,,Blackburn,Arsenal,0.0,3.0,Arsenal,2005-11-26,Saturday,
2005.0,,Arsenal,Bolton,0.0,2.0,Bolton,2005-12-03,Saturday,
2005.0,,Arsenal,Newcastle,0.0,1.0,Newcastle,2005-12-10,Saturday,
2005.0,,Chelsea,Arsenal,2.0,0.0,Chelsea,2005-12-18,Sunday,
2005.0,,Arsenal,Charlton,1.0,0.0,Arsenal,2005-12-26,Monday,
2005.0,,Portsmouth,Arsenal,0.0,4.0,Arsenal,2005-12-28,Wednesday,
2005.0,,Arsenal,Aston Villa,0.0,0.0,Draw,2005-12-31,Saturday,
2005.0,,Man United,Arsenal,0.0,0.0,Draw,2006-01-03,Tuesday,
2005.0,,Middlesbrough,Arsenal,0.0,7.0,Arsenal,2006-01-14,Saturday,
2005.0,,Arsenal,Everton,0.0,1.0,Everton,2006-01-21,Saturday,
2005.0,,West Ham,Arsenal,3.0,2.0,West Ham,2006-02-01,Wednesday,
2005.0,,Arsenal,Birmingham,2.0,0.0,Arsenal,2006-02-04,Saturday,
2005.0,,Bolton,Arsenal,1.0,1.0,Draw,2006-02-11,Saturday,
2005.0,,Arsenal,Liverpool,0.0,1.0,Liverpool,2006-02-14,Tuesday,
2005.0,,Arsenal,Blackburn,0.0,1.0,Blackburn,2006-02-25,Saturday,
2005.0,,Arsenal,Fulham,4.0,0.0,Arsenal,2006-03-04,Saturday,
2005.0,,Liverpool,Arsenal,1.0,2.0,Arsenal,2006-03-12,Sunday,
2005.0,,Charlton,Arsenal,0.0,3.0,Arsenal,2006-03-18,Saturday,
2005.0,,Aston Villa,Arsenal,0.0,5.0,Arsenal,2006-04-01,Saturday,
2005.0,,Arsenal,Man United,0.0,2.0,Man United,2006-04-09,Sunday,
2005.0,,Arsenal,Portsmouth,1.0,1.0,Draw,2006-04-12,Wednesday,
2005.0,,West Brom,Arsenal,1.0,3.0,Arsenal,2006-04-15,Saturday,
2005.0,,Tottenham,Arsenal,1.0,1.0,Draw,2006-04-22,Saturday,
2005.0,,Arsenal,Sunderland,3.0,0.0,Arsenal,2006-05-01,Monday,
2005.0,,Arsenal,Man City,3.0,1.0,Arsenal,2006-05-04,Thursday,
2005.0,,Wigan,Arsenal,2.0,4.0,Arsenal,2006-05-07,Sunday,
2006.0,,Aston Villa,Arsenal,1.0,1.0,Draw,2006-08-19,Saturday,
2006.0,,Arsenal,Man City,0.0,1.0,Man City,2006-08-26,Saturday,
2006.0,,Middlesbrough,Arsenal,1.0,1.0,Draw,2006-09-09,Saturday,
2006.0,,Arsenal,Man United,1.0,0.0,Arsenal,2006-09-17,Sunday,
2006.0,,Sheffield United,Arsenal,0.0,3.0,Arsenal,2006-09-23,Saturday,
2006.0,,Arsenal,Charlton,2.0,1.0,Arsenal,2006-09-30,Saturday,
2006.0,,Watford,Arsenal,0.0,3.0,Arsenal,2006-10-14,Saturday,
2006.0,,Arsenal,Reading,4.0,0.0,Arsenal,2006-10-22,Sunday,
2006.0,,Everton,Arsenal,1.0,1.0,Draw,2006-10-28,Saturday,
2006.0,,Arsenal,West Ham,0.0,1.0,West Ham,2006-11-05,Sunday,
2006.0,,Liverpool,Arsenal,0.0,3.0,Arsenal,2006-11-12,Sunday,
2006.0,,Newcastle,Arsenal,1.0,1.0,Draw,2006-11-18,Saturday,
2006.0,,Arsenal,Bolton,1.0,3.0,Bolton,2006-11-25,Saturday,
2006.0,,Arsenal,Fulham,1.0,2.0,Fulham,2006-11-29,Wednesday,
2006.0,,Tottenham,Arsenal,0.0,3.0,Arsenal,2006-12-02,Saturday,
2006.0,,Arsenal,Chelsea,1.0,1.0,Draw,2006-12-10,Sunday,
2006.0,,Arsenal,Wigan,1.0,0.0,Arsenal,2006-12-13,Wednesday,
2006.0,,Portsmouth,Arsenal,2.0,2.0,Draw,2006-12-16,Saturday,
2006.0,,Blackburn,Arsenal,2.0,6.0,Arsenal,2006-12-23,Saturday,
2006.0,,Arsenal,Watford,2.0,1.0,Arsenal,2006-12-26,Tuesday,
2006.0,,Arsenal,Sheffield United,0.0,1.0,Sheffield United,2006-12-30,Saturday,
2006.0,,Charlton,Arsenal,0.0,4.0,Arsenal,2007-01-02,Tuesday,
2006.0,,Arsenal,Blackburn,2.0,0.0,Arsenal,2007-01-13,Saturday,
2006.0,,Man United,Arsenal,1.0,2.0,Arsenal,2007-01-21,Sunday,
2006.0,,Arsenal,Middlesbrough,1.0,1.0,Draw,2007-02-03,Saturday,
2006.0,,Wigan,Arsenal,1.0,2.0,Arsenal,2007-02-11,Sunday,
2006.0,,Reading,Arsenal,1.0,2.0,Arsenal,2007-03-03,Saturday,
2006.0,,Arsenal,Aston Villa,1.0,0.0,Arsenal,2007-03-14,Wednesday,
2006.0,,Arsenal,Everton,0.0,1.0,Everton,2007-03-18,Sunday,
2006.0,,Arsenal,Liverpool,1.0,4.0,Liverpool,2007-03-31,Saturday,
2006.0,,West Ham,Arsenal,1.0,0.0,West Ham,2007-04-07,Saturday,
2006.0,,Arsenal,Newcastle,0.0,0.0,Draw,2007-04-09,Monday,
2006.0,,Bolton,Arsenal,1.0,2.0,Arsenal,2007-04-14,Saturday,
2006.0,,Man City,Arsenal,1.0,3.0,Arsenal,2007-04-17,Tuesday,
2006.0,,Arsenal,Tottenham,2.0,2.0,Draw,2007-04-21,Saturday,
2006.0,,Fulham,Arsenal,1.0,3.0,Arsenal,2007-04-29,Sunday,
2006.0,,Chelsea,Arsenal,1.0,1.0,Draw,2007-05-06,Sunday,
2006.0,,Arsenal,Portsmouth,0.0,0.0,Draw,2007-05-13,Sunday,
2007.0,,Fulham,Arsenal,1.0,2.0,Arsenal,2007-08-12,Sunday,
2007.0,,Arsenal,Blackburn,1.0,1.0,Draw,2007-08-19,Sunday,
2007.0,,Man City,Arsenal,0.0,1.0,Arsenal,2007-08-25,Saturday,
2007.0,,Portsmouth,Arsenal,1.0,3.0,Arsenal,2007-09-02,Sunday,
2007.0,,Arsenal,Tottenham,3.0,1.0,Arsenal,2007-09-15,Saturday,
2007.0,,Derby,Arsenal,0.0,5.0,Arsenal,2007-09-22,Saturday,
2007.0,,Arsenal,West Ham,1.0,0.0,Arsenal,2007-09-29,Saturday,
2007.0,,Sunderland,Arsenal,2.0,3.0,Arsenal,2007-10-07,Sunday,
2007.0,,Bolton,Arsenal,0.0,2.0,Arsenal,2007-10-20,Saturday,
2007.0,,Arsenal,Liverpool,1.0,1.0,Draw,2007-10-28,Sunday,
2007.0,,Man United,Arsenal,2.0,2.0,Draw,2007-11-03,Saturday,
2007.0,,Arsenal,Reading,3.0,1.0,Arsenal,2007-11-12,Monday,
2007.0,,Wigan,Arsenal,0.0,2.0,Arsenal,2007-11-24,Saturday,
2007.0,,Arsenal,Aston Villa,2.0,1.0,Arsenal,2007-12-01,Saturday,
